tema,imagen
Python 3,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Tecnologia/Python.png
Big Data,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Tecnologia/Big%20Data.png
Inteligencia Artificial,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Tecnologia/IA.png
Ingenieria Social,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Tecnologia/Ingenieria%20Social.png
Python3 Asyncio,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Tecnologia/Python%20Asincrono.png
AWS,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Tecnologia/AWS.png
Terminacion de pozos,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Terminacion.png
Logística,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Tecnologia/Logistica.png
Sistemas Artificiales de produccion,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/SAP.png
Fluidos de perforacion,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Fluidos%20de%20perforacion.png
Geología,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Geologia.png
Perforacion de pozos,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Perforacion.png
Reciperacion secundaria y mejorada,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/RSM.png
Comportamiento de yacimientos,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Comportamiento.png
Caracterizacion de yacimientos,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/caracterizacion.png
Petroquimica,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Petroquimica.png
Procesos de bombeo y compresion de hidrocarburos,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Procesos.png
Productividad de pozos,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Productividad%20de%20pozos.png
Flujo multifasico,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Flujo%20multifasico.png
Aguas Profundas,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Aguas%20Profundas.png
Control de agua,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Control%20de%20Agua.png
Ciencias de la tierra,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Ciencias%20de%20la%20tierra.png
Fracturamiento hidraulico,https://raw.githubusercontent.com/vania-dev/vaniadev-covers/main/covers/Ciencias%20de%20la%20tierra/Fracturamiento.png